id,Слово,Перевод,Тип,Курс,Урок
904,numaralandırmak,нумеровать,FİİLLER,A2,UNITE1
905,silmek,"стирать, вытирать, удалять",FİİLLER,A2,UNITE1
906,yalan söylemek,"лгать, говорить неправду",FİİLLER,A2,UNITE1
907,yerleştirmek,"размещать, устанавливать, водворять",FİİLLER,A2,UNITE1
178,Afiyet olsun.,Приятного аппетита.,KALIP İFADELER,A2,UNITE1
908,Çok yaşayın.,Живите долго.,KALIP İFADELER,A2,UNITE1
909,Elinize sağlık.,Здоровья вашим рукам.,KALIP İFADELER,A2,UNITE1
910,Hayırlı olsun.,"С добрым началом, с благословением, поздравляю (с приобретением и т.д.).",KALIP İFADELER,A2,UNITE1
911,Kolay gelsin.,"Легкой работы, удачи (в работе).",KALIP İFADELER,A2,UNITE1
912,alaycı,"насмешливый, ироничный",İSİMLER,A2,UNITE2
913,alışkanlık,привычка,İSİMLER,A2,UNITE2
3,alkol,алкоголь,İSİMLER,A2,UNITE2
914,ampul,"лампочка, колба",İSİMLER,A2,UNITE2
915,as,"туз, туз (карта), ас",İSİMLER,A2,UNITE2
204,ay,"луна, месяц",İSİMLER,A2,UNITE2
916,bağımlılık,зависимость,İSİMLER,A2,UNITE2
917,baklagil,бобовые,İSİMLER,A2,UNITE2
918,beslenme,питание,İSİMLER,A2,UNITE2
728,beyaz,белый,İSİMLER,A2,UNITE2
919,bilgin,"ученый, знаток, эрудит",İSİMLER,A2,UNITE2
920,bolca,"обильно, много, в изобилии",İSİMLER,A2,UNITE2
921,bordo,"бордовый, темно-красный",İSİMLER,A2,UNITE2
922,buluş,изобретение,İSİMLER,A2,UNITE2
923,cömert,щедрый,İSİMLER,A2,UNITE2
924,çizgi film,"мультфильм, комикс",İSİMLER,A2,UNITE2
925,demokrasi,демократия,İSİMLER,A2,UNITE2
926,deney,"эксперимент, опыт, проба",İSİMLER,A2,UNITE2
927,derbi,"дерби, принципиальный матч",İSİMLER,A2,UNITE2
928,dük,герцог,İSİMLER,A2,UNITE2
929,düşes,герцогиня,İSİMLER,A2,UNITE2
930,egzersiz,"упражнение, тренировка",İSİMLER,A2,UNITE2
357,ekonomi,"экономика, хозяйство",İSİMLER,A2,UNITE2
666,emekli,"пенсионер, отставной",İSİMLER,A2,UNITE2
931,erişkin,"взрослый, совершеннолетний",İSİMLER,A2,UNITE2
932,esnek,"гибкий, эластичный",İSİMLER,A2,UNITE2
50,fare,мышь,İSİMLER,A2,UNITE2
933,fırsatçı,"оппортунист, ловкач",İSİMLER,A2,UNITE2
934,gazetecilik,"журналистика, репортерская работа",İSİMLER,A2,UNITE2
754,gece,ночь,İSİMLER,A2,UNITE2
247,gündüz,день,İSİMLER,A2,UNITE2
935,hayalci,"мечтатель, фантазер",İSİMLER,A2,UNITE2
936,hırsız,"вор, грабитель",İSİMLER,A2,UNITE2
937,hizmetçi,"слуга, служанка",İSİMLER,A2,UNITE2
938,hükümdar,"правитель, монарх",İSİMLER,A2,UNITE2
939,ışın,"луч, излучение, радиус",İSİMLER,A2,UNITE2
940,idareci,"администратор, руководитель, управляющий",İSİMLER,A2,UNITE2
762,ihtiyaç,"потребность, нужда",İSİMLER,A2,UNITE2
941,iletişim,"общение, связь, коммуникация",İSİMLER,A2,UNITE2
942,ilginç,"интересный, любопытный",İSİMLER,A2,UNITE2
943,ilk,"первый, начальный",İSİMLER,A2,UNITE2
944,iskelet,"скелет, каркас",İSİMLER,A2,UNITE2
945,kahkaha,"смех, хохот",İSİMLER,A2,UNITE2
946,kahraman,герой,İSİMLER,A2,UNITE2
947,kalsiyum,кальций,İSİMLER,A2,UNITE2
948,kanat,"крыло, бок, фланг",İSİMLER,A2,UNITE2
949,kaplumbağa,черепаха,İSİMLER,A2,UNITE2
950,kemik,кость,İSİMLER,A2,UNITE2
264,kırmızı,красный,İSİMLER,A2,UNITE2
951,kolesterol,холестерин,İSİMLER,A2,UNITE2
952,komutan,"командир, командующий",İSİMLER,A2,UNITE2
953,konforlu,"комфортный, удобный",İSİMLER,A2,UNITE2
954,kongre,"конгресс, съезд",İSİMLER,A2,UNITE2
955,koyun,овца,İSİMLER,A2,UNITE2
956,kristal,кристалл,İSİMLER,A2,UNITE2
957,kurnaz,"хитрый, ловкий, пронырливый",İSİMLER,A2,UNITE2
958,kuruyemiş,"орехи, сухофрукты",İSİMLER,A2,UNITE2
588,kültür,культура,İSİMLER,A2,UNITE2
959,lacivert,"темно-синий, индиго",İSİMLER,A2,UNITE2
960,lakap,"прозвище, кличка",İSİMLER,A2,UNITE2
961,lodos,юго-западный ветер,İSİMLER,A2,UNITE2
962,madde,"вещество, материя, пункт",İSİMLER,A2,UNITE2
963,magazin,"журнал (светская хроника), желтая пресса",İSİMLER,A2,UNITE2
103,mağaza,"магазин, лавка",İSİMLER,A2,UNITE2
107,meşgul,занятой,İSİMLER,A2,UNITE2
964,metre,метр,İSİMLER,A2,UNITE2
965,mizaç,"характер, нрав",İSİMLER,A2,UNITE2
966,mucit,изобретатель,İSİMLER,A2,UNITE2
967,muhteşem,"великолепный, потрясающий",İSİMLER,A2,UNITE2
968,müdür,"директор, управляющий, заведующий",İSİMLER,A2,UNITE2
969,müfettiş,"инспектор, ревизор",İSİMLER,A2,UNITE2
802,müze,музей,İSİMLER,A2,UNITE2
970,nargile,"кальян, наргиле",İSİMLER,A2,UNITE2
971,okyanus,океан,İSİMLER,A2,UNITE2
972,ödül,"награда, премия, приз",İSİMLER,A2,UNITE2
973,politika,политика,İSİMLER,A2,UNITE2
974,protein,"белок, протеин",İSİMLER,A2,UNITE2
975,puan,"балл, очко",İSİMLER,A2,UNITE2
976,radyo dalgası,радиоволна,İSİMLER,A2,UNITE2
691,reçete,"рецепт, предписание",İSİMLER,A2,UNITE2
977,romancı,"романист, писатель",İSİMLER,A2,UNITE2
978,rütbe,"звание, чин, ранг",İSİMLER,A2,UNITE2
979,saf,"чистый, наивный",İSİMLER,A2,UNITE2
980,sahil,"побережье, берег",İSİMLER,A2,UNITE2
612,saniye,секунда,İSİMLER,A2,UNITE2
613,sarı,желтый,İSİMLER,A2,UNITE2
981,satış,"продажа, сбыт",İSİMLER,A2,UNITE2
982,sene,год,İSİMLER,A2,UNITE2
983,sıradan,"обычный, заурядный",İSİMLER,A2,UNITE2
984,sinyal,сигнал,İSİMLER,A2,UNITE2
985,siyah,черный,İSİMLER,A2,UNITE2
986,şövalye,рыцарь,İSİMLER,A2,UNITE2
987,takım,"команда, набор, комплект",İSİMLER,A2,UNITE2
988,takma,"искусственный, вставной",İSİMLER,A2,UNITE2
989,tavan,"потолок, верхний предел",İSİMLER,A2,UNITE2
990,tavşan,"кролик, заяц",İSİMLER,A2,UNITE2
991,teleskop,телескоп,İSİMLER,A2,UNITE2
992,telsiz,"радио, рация",İSİMLER,A2,UNITE2
620,toplantı,"собрание, встреча, заседание",İSİMLER,A2,UNITE2
412,tür,"вид, тип, сорт",İSİMLER,A2,UNITE2
993,unvan,"звание, титул",İSİMLER,A2,UNITE2
994,usta,"мастер, умелец",İSİMLER,A2,UNITE2
995,vasıta,"средство, транспортное средство",İSİMLER,A2,UNITE2
996,yazar,"писатель, автор",İSİMLER,A2,UNITE2
997,yolculuk,"путешествие, поездка",İSİMLER,A2,UNITE2
998,affetmek,"прощать, извинять",FİİLLER,A2,UNITE2
999,bastırmak,"подавлять, прижимать, печатать",FİİLLER,A2,UNITE2
1000,icat etmek,"изобретать, выдумывать",FİİLLER,A2,UNITE2
879,ilerlemek,"продвигаться, идти вперед",FİİLLER,A2,UNITE2
1001,incelemek,"изучать, исследовать",FİİLLER,A2,UNITE2
1002,kazanmak,"зарабатывать, выигрывать, получать",FİİLLER,A2,UNITE2
1003,keşfetmek,"открывать, обнаруживать",FİİLLER,A2,UNITE2
1004,mezun olmak,"оканчивать (учебное заведение), выпускаться",FİİLLER,A2,UNITE2
1005,yayımlamak,"публиковать, издавать, выпускать",FİİLLER,A2,UNITE2
1006,ahşap,"деревянный, из дерева",İSİMLER,A2,UNITE3
1007,aniden,"вдруг, внезапно",İSİMLER,A2,UNITE3
1008,asker,"солдат, военный",İSİMLER,A2,UNITE3
1009,Avrupa,Европа,İSİMLER,A2,UNITE3
1010,baharatlı,"пряный, острый",İSİMLER,A2,UNITE3
1011,bal,мед,İSİMLER,A2,UNITE3
1012,bambu,бамбук,İSİMLER,A2,UNITE3
1013,başbakan,премьер-министр,İSİMLER,A2,UNITE3
1014,belediye,"муниципалитет, городское управление",İSİMLER,A2,UNITE3
1015,bölge,"район, область, зона",İSİMLER,A2,UNITE3
1016,bülbül,соловей,İSİMLER,A2,UNITE3
1017,çadır,"палатка, шатер",İSİMLER,A2,UNITE3
1018,çekirdek,"зерно, косточка, семечко",İSİMLER,A2,UNITE3
663,çevre,"окружающая среда, окружение, периметр",İSİMLER,A2,UNITE3
664,çiftçi,фермер,İSİMLER,A2,UNITE3
1019,dağ,гора,İSİMLER,A2,UNITE3
1020,dışkı,"кал, испражнения, экскременты",İSİMLER,A2,UNITE3
356,dizi,"сериал, ряд, последовательность",İSİMLER,A2,UNITE3
40,doğum günü,день рождения,İSİMLER,A2,UNITE3
1021,döner,"дёнер, шаурма",İSİMLER,A2,UNITE3
745,dürüst,"честный, правдивый",İSİMLER,A2,UNITE3
1022,eldiven,перчатка,İSİMLER,A2,UNITE3
360,eş,"супруг, супруга, пара, ровня",İSİMLER,A2,UNITE3
1023,etkinlik,"мероприятие, активность",İSİMLER,A2,UNITE3
1024,ev planı,"план дома, планировка дома",İSİMLER,A2,UNITE3
1025,fal,"гадание, предсказание",İSİMLER,A2,UNITE3
753,faydalı,"полезный, благотворный",İSİMLER,A2,UNITE3
1026,ferah,"прохладный, свежий, просторный",İSİMLER,A2,UNITE3
1027,festival,"фестиваль, праздник",İSİMLER,A2,UNITE3
1028,gelenek,"традиция, обычай",İSİMLER,A2,UNITE3
370,gösteri,"шоу, представление, демонстрация",İSİMLER,A2,UNITE3
1029,güneşli,солнечный,İSİMLER,A2,UNITE3
759,harika,"замечательный, великолепный, чудесный",İSİMLER,A2,UNITE3
250,hastane,больница,İSİMLER,A2,UNITE3
372,hava,"погода, воздух",İSİMLER,A2,UNITE3
65,hayal,"мечта, фантазия",İSİMLER,A2,UNITE3
375,hediye,подарок,İSİMLER,A2,UNITE3
1030,ılık,"теплый, умеренный",İSİMLER,A2,UNITE3
1031,icat,изобретение,İSİMLER,A2,UNITE3
764,inatçı,"упрямый, настойчивый",İSİMLER,A2,UNITE3
1032,izleyici,"зритель, наблюдатель",İSİMLER,A2,UNITE3
1033,jimnastik,гимнастика,İSİMLER,A2,UNITE3
1034,kaban,"пальто, куртка (зимняя)",İSİMLER,A2,UNITE3
1035,kampanya,"кампания, акция",İSİMLER,A2,UNITE3
1036,kar,снег,İSİMLER,A2,UNITE3
1037,katedral,собор,İSİMLER,A2,UNITE3
1038,kazak,"свитер, джемпер",İSİMLER,A2,UNITE3
1039,kıyı,"берег, побережье",İSİMLER,A2,UNITE3
1040,kıymet,"ценность, стоимость",İSİMLER,A2,UNITE3
1041,klozet,унитаз,İSİMLER,A2,UNITE3
1042,mahalli,местный,İSİMLER,A2,UNITE3
1043,makyaj,"макияж, косметика",İSİMLER,A2,UNITE3
1044,merasim,"церемония, обряд",İSİMLER,A2,UNITE3
1045,mercimek,чечевица,İSİMLER,A2,UNITE3
1046,mesai,рабочее время,İSİMLER,A2,UNITE3
1047,metrekare,квадратный метр,İSİMLER,A2,UNITE3
1048,mısır,"кукуруза, Египет",İSİMLER,A2,UNITE3
1049,mimar,архитектор,İSİMLER,A2,UNITE3
1050,mobilya,мебель,İSİMLER,A2,UNITE3
684,nehir,река,İSİMLER,A2,UNITE3
1051,nemli,"влажный, сырой",İSİMLER,A2,UNITE3
1052,oğul,сын,İSİMLER,A2,UNITE3
971,okyanus,океан,İSİMLER,A2,UNITE3
1053,ödeme,"оплата, платеж",İSİMLER,A2,UNITE3
1054,padişah,"султан, падишах",İSİMLER,A2,UNITE3
1055,pamuk,"хлопок, вата",İSİMLER,A2,UNITE3
1056,piramit,пирамида,İSİMLER,A2,UNITE3
1057,plaj,пляж,İSİMLER,A2,UNITE3
1058,robot,робот,İSİMLER,A2,UNITE3
1059,romatizma,ревматизм,İSİMLER,A2,UNITE3
1060,sağanak,"ливень, проливной дождь",İSİMLER,A2,UNITE3
980,sahil,"побережье, берег",İSİMLER,A2,UNITE3
816,sakal,борода,İSİMLER,A2,UNITE3
1061,satılık,"продающийся, на продажу",İSİMLER,A2,UNITE3
820,saygı,уважение,İSİMLER,A2,UNITE3
1062,seçim,"выборы, выбор, отбор",İSİMLER,A2,UNITE3
304,semt,"район, квартал",İSİMLER,A2,UNITE3
1063,serin,"прохладный, свежий",İSİMLER,A2,UNITE3
1064,sınav,экзамен,İSİMLER,A2,UNITE3
1065,sirk,цирк,İSİMLER,A2,UNITE3
1066,sisli,туманный,İSİMLER,A2,UNITE3
1067,soslu,"с соусом, под соусом",İSİMLER,A2,UNITE3
309,sosyal,"социальный, общественный",İSİMLER,A2,UNITE3
1068,sörf,серфинг,İSİMLER,A2,UNITE3
1069,stant,"стенд, павильон",İSİMLER,A2,UNITE3
1070,şelale,водопад,İSİMLER,A2,UNITE3
1071,tapınak,храм,İSİMLER,A2,UNITE3
1072,tarla,"поле, пашня",İSİMLER,A2,UNITE3
1073,taş,"камень, каменный",İSİMLER,A2,UNITE3
1074,torun,"внук, внучка",İSİMLER,A2,UNITE3
411,tur,"тур, поездка, экскурсия",İSİMLER,A2,UNITE3
1075,tuş,"клавиша, кнопка",İSİMLER,A2,UNITE3
1076,vaat,"обещание, обет",İSİMLER,A2,UNITE3
622,vakit,"время, пора",İSİMLER,A2,UNITE3
1077,valiz,"чемодан, саквояж",İSİMLER,A2,UNITE3
1078,vize,виза,İSİMLER,A2,UNITE3
1079,yağmurluk,"дождевик, плащ",İSİMLER,A2,UNITE3
1080,yanardağ,вулкан,İSİMLER,A2,UNITE3
1081,yoğunluk,"плотность, интенсивность",İSİMLER,A2,UNITE3
1082,yosun,"водоросли, мох",İSİMLER,A2,UNITE3
1083,yöresel,"местный, региональный",İSİMLER,A2,UNITE3
421,yurt,"общежитие, родина",İSİMLER,A2,UNITE3
706,anlaşmak,"договариваться, понимать друг друга",FİİLLER,A2,UNITE3
1084,artmak,"увеличиваться, возрастать, расти",FİİLLER,A2,UNITE3
1085,azalmak,"уменьшаться, сокращаться",FİİLLER,A2,UNITE3
1086,balık tutmak,ловить рыбу,FİİLLER,A2,UNITE3
1087,boyamak,"красить, рисовать, раскрашивать",FİİLLER,A2,UNITE3
861,çağırmak,"звать, вызывать, приглашать",FİİLLER,A2,UNITE3
1088,çalıştırmak,"работать, запускать, эксплуатировать",FİİLLER,A2,UNITE3
1089,çizmek,"рисовать, чертить, набрасывать",FİİLLER,A2,UNITE3
1090,dalmak,"нырять, погружаться, углубляться",FİİLLER,A2,UNITE3
709,değiştirmek,"менять, заменять, обменивать",FİİLLER,A2,UNITE3
870,düzenlemek,"организовывать, устраивать, приводить в порядок",FİİLLER,A2,UNITE3
1091,geçirmek,"проводить (время), пропускать, переносить",FİİLLER,A2,UNITE3
445,geçmek,"проходить, проезжать, сдавать (экзамен)",FİİLLER,A2,UNITE3
1092,gerçekleştirmek,"осуществлять, выполнять, реализовывать",FİİLLER,A2,UNITE3
446,gezmek,"путешествовать, гулять, осматривать",FİİLLER,A2,UNITE3
175,görüşmek,"встречаться, видеться, обсуждать, беседовать",FİİLLER,A2,UNITE3
1093,güneşlenmek,"загорать, принимать солнечные ванны",FİİLLER,A2,UNITE3
1094,ikna etmek,"убеждать, уговаривать",FİİLLER,A2,UNITE3
1095,iptal olmak,"отменяться, аннулироваться",FİİLLER,A2,UNITE3
1096,kaçmak,"убегать, спасаться бегством",FİİLLER,A2,UNITE3
1097,karar vermek,"решать, принимать решение",FİİLLER,A2,UNITE3
1098,kartopu oynamak,играть в снежки,FİİLLER,A2,UNITE3
642,katılmak,"участвовать, присоединяться, вступать",FİİLLER,A2,UNITE3
1099,kayak yapmak,кататься на лыжах,FİİLLER,A2,UNITE3
1100,kürek çekmek,"грести, работать веслами",FİİLLER,A2,UNITE3
1101,tahmin etmek,"предполагать, догадываться",FİİLLER,A2,UNITE3
1102,takmak,"надевать, прикреплять, устанавливать",FİİLLER,A2,UNITE3
1103,tıraş olmak,бриться,FİİLLER,A2,UNITE3
898,tükenmek,"заканчиваться, иссякать, истощаться",FİİLLER,A2,UNITE3
1104,ambulans,скорая помощь,İSİMLER,A2,UNITE4
1105,asansör,лифт,İSİMLER,A2,UNITE4
1106,bilmece,загадка,İSİMLER,A2,UNITE4
1107,cankurtaran,"спасатель, спасательный круг, спасательный жилет",İSİMLER,A2,UNITE4
1108,cin,"джинн, дух, черт",İSİMLER,A2,UNITE4
1109,deve,верблюд,İSİMLER,A2,UNITE4
1110,diyar,"страна, край",İSİMLER,A2,UNITE4
1111,efsane,"легенда, миф, сказание",İSİMLER,A2,UNITE4
1112,evliya,"святой, угодник",İSİMLER,A2,UNITE4
237,fakir,"бедный, нищий",İSİMLER,A2,UNITE4
1113,fıkra,"анекдот, статья, пункт",İSİMLER,A2,UNITE4
1114,fırtına,"буря, шторм",İSİMLER,A2,UNITE4
1115,hayran,"поклонник, обожатель, фанат",İSİMLER,A2,UNITE4
1116,inşaat,"стройка, строительство",İSİMLER,A2,UNITE4
382,işçi,рабочий,İSİMLER,A2,UNITE4
1117,itfaiyeci,пожарный,İSİMLER,A2,UNITE4
1118,kasaba,"городок, местечко",İSİMLER,A2,UNITE4
262,kasiyer,кассир,İSİMLER,A2,UNITE4
1119,kaval,"свирель, дудка, флейта",İSİMLER,A2,UNITE4
1120,kıtlık,"голод, нехватка, дефицит",İSİMLER,A2,UNITE4
1121,konfeksiyon,"швейное производство, готовая одежда",İSİMLER,A2,UNITE4
1122,köçek,мальчик-танцовщик (в старину),İSİMLER,A2,UNITE4
1123,macera,"приключение, авантюра",İSİMLER,A2,UNITE4
106,merdiven,лестница,İSİMLER,A2,UNITE4
1124,metrobüs,метробус (скоростной автобус),İSİMLER,A2,UNITE4
1049,mimar,архитектор,İSİMLER,A2,UNITE4
394,müşteri,"клиент, покупатель, заказчик",İSİMLER,A2,UNITE4
1125,nişanlı,"помолвленный, жених, невеста",İSİMLER,A2,UNITE4
1126,ölümsüz,бессмертный,İSİMLER,A2,UNITE4
1127,ölümsüzlük,бессмертие,İSİMLER,A2,UNITE4
1054,padişah,"султан, падишах",İSİMLER,A2,UNITE4
1128,pansiyon,"пансион, гостиница, меблированные комнаты",İSİMLER,A2,UNITE4
1129,santral görevlisi,"оператор станции, диспетчер",İSİMLER,A2,UNITE4
1130,sebze,"овощи, овощ",İSİMLER,A2,UNITE4
1131,sedefkâr,"перламутр, мастер по перламутру",İSİMLER,A2,UNITE4
1132,sihirli,"волшебный, магический, заколдованный",İSİMLER,A2,UNITE4
1133,sürü,"стадо, стая, рой",İSİMLER,A2,UNITE4
1072,tarla,"поле, пашня",İSİMLER,A2,UNITE4
1134,tas,"чаша, таз, камень",İSİMLER,A2,UNITE4
318,tembel,ленивый,İSİMLER,A2,UNITE4
1135,tepe,"холм, вершина, верхушка",İSİMLER,A2,UNITE4
319,tezgâhtar,продавец,İSİMLER,A2,UNITE4
1136,uslu,"послушный, спокойный",İSİMLER,A2,UNITE4
1137,vestiyer,"гардероб, вешалка",İSİMLER,A2,UNITE4
845,veteriner,ветеринар,İSİMLER,A2,UNITE4
534,yaramaz,"непослушный, озорной, шаловливый",İSİMLER,A2,UNITE4
1138,yem,"корм, приманка, наживка",İSİMLER,A2,UNITE4
1139,yönetmen,"режиссер, директор, управляющий",İSİMLER,A2,UNITE4
1140,alay etmek,"насмехаться, издеваться",FİİLLER,A2,UNITE4
1141,anırmak,"реветь (об осле), кричать",FİİLLER,A2,UNITE4
1142,boğulmak,"тонуть, задыхаться",FİİLLER,A2,UNITE4
1143,bozulmak,"ломаться, портиться, срываться",FİİLLER,A2,UNITE4
1144,fethetmek,"завоевывать, покорять",FİİLLER,A2,UNITE4
1145,fışkırmak,"бить ключом, извергаться",FİİLLER,A2,UNITE4
1146,incitmek,"ранить, причинять боль, обижать",FİİLLER,A2,UNITE4
1147,oda tutmak,"бронировать номер, снимать комнату",FİİLLER,A2,UNITE4
1148,şaşırmak,"удивляться, поражаться, путаться",FİİLLER,A2,UNITE4
1149,şımartmak,"баловать, изнеживать, развращать",FİİLLER,A2,UNITE4
1150,yetiştirmek,"выращивать, воспитывать, успевать (делать)",FİİLLER,A2,UNITE4
1151,afiş,"афиша, плакат",İSİMLER,A2,UNITE5
658,alan,"область, поле, площадка",İSİMLER,A2,UNITE5
913,alışkanlık,привычка,İSİMLER,A2,UNITE5
1152,animasyon,"анимация, мультипликация",İSİMLER,A2,UNITE5
1153,aşçı,повар,İSİMLER,A2,UNITE5
1154,atmosfer,"атмосфера, обстановка",İSİMLER,A2,UNITE5
1155,banka kartı,банковская карта,İSİMLER,A2,UNITE5
1156,belgesel,"документальный фильм, документальный",İSİMLER,A2,UNITE5
731,biber,перец,İSİMLER,A2,UNITE5
1157,bilim kurgu,научная фантастика,İSİMLER,A2,UNITE5
1158,bilimsel gerçek,научный факт,İSİMLER,A2,UNITE5
1159,bulmaca,"кроссворд, головоломка",İSİMLER,A2,UNITE5
734,bulut,облако,İSİMLER,A2,UNITE5
1160,cisim,"тело, предмет, объект",İSİMLER,A2,UNITE5
1161,çığ,"лавина, снежный обвал",İSİMLER,A2,UNITE5
1162,çöpçü,"мусорщик, уборщик",İSİMLER,A2,UNITE5
1163,damlacık,"капелька, капля",İSİMLER,A2,UNITE5
1164,dedikodu,"сплетня, слухи",İSİMLER,A2,UNITE5
1165,delikanlı,"юноша, молодец",İSİMLER,A2,UNITE5
429,beslenmek,"питаться, кормиться",İSİMLER,A2,UNITE5
1166,deprem,землетрясение,İSİMLER,A2,UNITE5
1167,dikey,"вертикальный, перпендикулярный",İSİMLER,A2,UNITE5
1168,doğa,"природа, натура",İSİMLER,A2,UNITE5
1169,doğa olayı,природное явление,İSİMLER,A2,UNITE5
227,dolu,"град, полный",İSİMLER,A2,UNITE5
1170,dünya,"мир, земля",İSİMLER,A2,UNITE5
1171,elektrik enerjisi,электрическая энергия,İSİMLER,A2,UNITE5
1172,etraf,"окрестности, окружение, вокруг",İSİMLER,A2,UNITE5
1173,fay,"разлом, трещина, польза",İSİMLER,A2,UNITE5
239,fırın,"печь, пекарня, духовка",İSİMLER,A2,UNITE5
1174,form,"форма, бланк, состояние",İSİMLER,A2,UNITE5
1175,genişlik,"ширина, широта",İSİMLER,A2,UNITE5
1176,gişe memuru,"кассир, билетер",İSİMLER,A2,UNITE5
1177,gökkuşağı,радуга,İSİMLER,A2,UNITE5
756,gökyüzü,небо,İSİMLER,A2,UNITE5
668,göl,озеро,İSİMLER,A2,UNITE5
1178,güneş,солнце,İSİMLER,A2,UNITE5
1179,günlük,"дневник, ежедневный, ежедневник",İSİMLER,A2,UNITE5
1180,hobi,"хобби, увлечение",İSİMLER,A2,UNITE5
1181,hokkabaz,"фокусник, жонглер",İSİMLER,A2,UNITE5
1182,hortum,"шланг, воронка, смерч",İSİMLER,A2,UNITE5
1183,ılıman,умеренный (о климате),İSİMLER,A2,UNITE5
1184,ihtimal,"вероятность, возможность",İSİMLER,A2,UNITE5
1185,iklim,климат,İSİMLER,A2,UNITE5
1186,iskele,"пристань, пирс, эшафот",İSİMLER,A2,UNITE5
1187,karanlık,"темнота, темный",İSİMLER,A2,UNITE5
1188,kırık,"сломанный, перелом, трещина",İSİMLER,A2,UNITE5
267,kilo,"килограмм, вес",İSİMLER,A2,UNITE5
1189,klasik,"классический, классика",İSİMLER,A2,UNITE5
1190,koleksiyon,коллекция,İSİMLER,A2,UNITE5
1191,komedi,комедия,İSİMLER,A2,UNITE5
1192,korku,"страх, боязнь",İSİMLER,A2,UNITE5
1193,köşk,"дворец, вилла, особняк",İSİMLER,A2,UNITE5
1194,kum,песок,İSİMLER,A2,UNITE5
1195,kum fırtınası,песчаная буря,İSİMLER,A2,UNITE5
1196,kurak,"засушливый, сухой",İSİMLER,A2,UNITE5
1197,kuraklık,засуха,İSİMLER,A2,UNITE5
278,manav,"овощной магазин, зеленщик",İSİMLER,A2,UNITE5
680,manzara,"вид, пейзаж, ландшафт",İSİMLER,A2,UNITE5
1198,meteorolojik,метеорологический,İSİMLER,A2,UNITE5
802,müze,музей,İSİMLER,A2,UNITE5
684,nehir,река,İSİMLER,A2,UNITE5
1199,nem,"влажность, сырость",İSİMLER,A2,UNITE5
1200,öğle yemeği,обед,İSİMLER,A2,UNITE5
1201,özet,"резюме, краткое содержание, конспект",İSİMLER,A2,UNITE5
1202,polisiye,"детективный, полицейский",İSİMLER,A2,UNITE5
132,postacı,почтальон,İSİMLER,A2,UNITE5
1203,romantik,романтический,İSİMLER,A2,UNITE5
814,rüzgâr,ветер,İSİMLER,A2,UNITE5
1204,sel,"наводнение, поток",İSİMLER,A2,UNITE5
1063,serin,"прохладный, свежий",İSİMLER,A2,UNITE5
1205,sihirbaz,"волшебник, фокусник",İSİMLER,A2,UNITE5
1206,sopa,"палка, дубинка",İSİMLER,A2,UNITE5
151,şarkıcı,"певец, певица",İSİMLER,A2,UNITE5
1207,tamirci,"ремонтник, механик",İSİMLER,A2,UNITE5
1208,teslim,"сдача, доставка, передача",İSİMLER,A2,UNITE5
1209,toz,пыль,İSİMLER,A2,UNITE5
1210,toz fırtınası,пыльная буря,İSİMLER,A2,UNITE5
1211,tropik yağmur,тропический дождь,İSİMLER,A2,UNITE5
1212,tsunami,цунами,İSİMLER,A2,UNITE5
412,tür,"вид, тип, сорт",İSİMLER,A2,UNITE5
165,vazo,ваза,İSİMLER,A2,UNITE5
1213,volkanik patlama,вулканическое извержение,İSİMLER,A2,UNITE5
847,yağmur,дождь,İSİMLER,A2,UNITE5
1214,yatay,горизонтальный,İSİMLER,A2,UNITE5
1215,yatılı okul,"школа-интернат, пансион",İSİMLER,A2,UNITE5
1216,yazlık kıyafet,летняя одежда,İSİMLER,A2,UNITE5
1217,yer çekimi,"сила тяжести, гравитация",İSİMLER,A2,UNITE5
1218,yer kabuğu,земная кора,İSİMLER,A2,UNITE5
1219,yıldırım,молния,İSİMLER,A2,UNITE5
1083,yöresel,"местный, региональный",İSİMLER,A2,UNITE5
1220,ziyaret,"визит, посещение",İSİMLER,A2,UNITE5
1221,batmak,"тонуть, заходить (о солнце), погружаться",FİİLLER,A2,UNITE5
432,biriktirmek,"собирать, накапливать, коллекционировать",FİİLLER,A2,UNITE5
1222,çarpmak,"ударять, сталкиваться, умножать",FİİLLER,A2,UNITE5
1223,dağıtmak,"раздавать, распределять, рассеивать",FİİLLER,A2,UNITE5
1224,dizilmek,"выстраиваться, становиться в ряд, нанизываться",FİİLLER,A2,UNITE5
1225,donmak,"замерзать, морозить, застывать",FİİLLER,A2,UNITE5
1226,fırçalamak,"чистить щеткой, чистить, отчитывать",FİİLLER,A2,UNITE5
1227,horlamak,храпеть,FİİLLER,A2,UNITE5
1228,imzalamak,"подписывать, расписываться",FİİLLER,A2,UNITE5
1229,iyileşmek,"выздоравливать, поправляться, улучшаться",FİİLLER,A2,UNITE5
1230,karşılaşmak,"встречаться, сталкиваться",FİİLLER,A2,UNITE5
1231,kaynamak,"кипеть, закипать, срастаться",FİİLLER,A2,UNITE5
1232,küsmek,"дуться, обижаться, не разговаривать",FİİLLER,A2,UNITE5
1233,nişanlanmak,"помолвиться, обручиться",FİİLLER,A2,UNITE5
471,pişirmek,"готовить (еду), печь, варить",FİİLLER,A2,UNITE5
713,sallanmak,"качаться, болтаться, колебаться",FİİLLER,A2,UNITE5
