id,Слово,Перевод,Тип,Курс,Урок
1187,revolución,революция,İSİMLER,A2,UNIDAD2
1188,ático,мансарда,İSİMLER,A2,UNIDAD3
1189,dúplex,двухуровневая квартира,İSİMLER,A2,UNIDAD3
1190,adosado,таунхаус,İSİMLER,A2,UNIDAD3
1191,chalet,коттедж,İSİMLER,A2,UNIDAD3
1192,estudio,студия,İSİMLER,A2,UNIDAD3
1193,trastero,кладовка,İSİMLER,A2,UNIDAD3
1194,caldo,бульон,İSİMLER,A2,UNIDAD4
1195,salsa,соус,İSİMLER,A2,UNIDAD4
1196,rebozado,в кляре,İSİMLER,A2,UNIDAD4
1197,al horno,запечённый,İSİMLER,A2,UNIDAD4
1198,a la plancha,на гриле,İSİMLER,A2,UNIDAD4
1199,crudo,сырой,İSİMLER,A2,UNIDAD4
1200,tensión,давление,İSİMLER,A2,UNIDAD5
1201,mareo,головокружение,İSİMLER,A2,UNIDAD5
1202,náuseas,тошнота,İSİMLER,A2,UNIDAD5
1203,esguince,растяжение,İSİMLER,A2,UNIDAD5
1204,fractura,перелом,İSİMLER,A2,UNIDAD5
1205,albergue,хостел,İSİMLER,A2,UNIDAD7
1206,camping,кемпинг,İSİMLER,A2,UNIDAD7
1207,pensión,пансион,İSİMLER,A2,UNIDAD7
1208,habitación individual,одноместный номер,İSİMLER,A2,UNIDAD7
1209,vista al mar,вид на море,İSİMLER,A2,UNIDAD7
1210,abrazar,обнимать,FİİLLER,A2,UNIDAD8
1211,besar,целовать,FİİLLER,A2,UNIDAD8
1212,sonreír,улыбаться,FİİLLER,A2,UNIDAD8
1213,gritar,кричать,FİİLLER,A2,UNIDAD8
1214,suspirar,вздыхать,FİİLLER,A2,UNIDAD8
1215,videoconsola,игровая приставка,İSİMLER,A2,UNIDAD9
1216,casete,кассета,İSİMLER,A2,UNIDAD9
1217,walkman,плейер,İSİMLER,A2,UNIDAD9
1218,carta,письмо,İSİMLER,A2,UNIDAD9
1219,cabina,телефонная будка,İSİMLER,A2,UNIDAD9
1220,disco de vinilo,виниловая пластинка,İSİMLER,A2,UNIDAD9
1221,tropezar,спотыкаться,FİİLLER,A2,UNIDAD10
1222,caerse,падать,FİİLLER,A2,UNIDAD10
1223,descubrirse,обнаруживать себя,FİİLLER,A2,UNIDAD10
1224,currículum vitae,резюме,İSİMLER,B1,UNIDAD1
1225,carta de presentación,сопроводительное письмо,İSİMLER,B1,UNIDAD1
1226,jornada completa,полный день,İSİMLER,B1,UNIDAD1
1227,media jornada,полставки,İSİMLER,B1,UNIDAD1
1228,horas extra,сверхурочные,İSİMLER,B1,UNIDAD1
1229,baja por maternidad,декрет,İSİMLER,B1,UNIDAD1
1230,jubilación,пенсия,İSİMLER,B1,UNIDAD2
1231,ahorro,накопление,İSİMLER,B1,UNIDAD2
1232,inversión,инвестиция,İSİMLER,B1,UNIDAD2
1233,emprendimiento,предпринимательство,İSİMLER,B1,UNIDAD2
1234,exagerar,преувеличивать,FİİLLER,B1,UNIDAD4
1235,calentar,разогревать,FİİLLER,B1,UNIDAD5
1236,estirar,растягивать,FİİLLER,B1,UNIDAD5
1237,hidratarse,пить воду,FİİLLER,B1,UNIDAD5
1238,calmarse,успокаиваться,FİİLLER,B1,UNIDAD5
1239,respirar,дышать,FİİLLER,B1,UNIDAD5
1240,ilusión,радость ожидания,İSİMLER,B1,UNIDAD6
1241,decepción,разочарование,İSİMLER,B1,UNIDAD6
1242,orgullo,гордость,İSİMLER,B1,UNIDAD6
1243,vergüenza,стыд,İSİMLER,B1,UNIDAD6
1244,envidia,зависть,İSİMLER,B1,UNIDAD6
1245,asa,ручка,İSİMLER,B1,UNIDAD7
1246,tapa,крышка,İSİMLER,B1,UNIDAD7
1247,rueda,колесо,İSİMLER,B1,UNIDAD7
1248,pantalla,экран,İSİMLER,B1,UNIDAD7
1249,botón,кнопка,İSİMLER,B1,UNIDAD7
1250,cable,кабель,İSİMLER,B1,UNIDAD7
1251,pila,батарейка,İSİMLER,B1,UNIDAD7
1252,enchufe,розетка,İSİMLER,B1,UNIDAD7
1253,huelga,забастовка,İSİMLER,B1,UNIDAD8
1254,manifestante,демонстрант,İSİMLER,B1,UNIDAD8
1255,urna,урна для голосования,İSİMLER,B1,UNIDAD8
1256,introvertido,интроверт,SIFATLAR,B1,UNIDAD9
1257,empático,эмпатичный,SIFATLAR,B1,UNIDAD9
1258,narcisista,нарциссический,SIFATLAR,B1,UNIDAD9
1259,resolutivo,решительный,SIFATLAR,B1,UNIDAD9
1260,indeciso,нерешительный,SIFATLAR,B1,UNIDAD9
1261,plástico de un solo uso,одноразовый пластик,İSİMLER,B1,UNIDAD10
1262,contenedor,контейнер,İSİMLER,B1,UNIDAD10
1263,punto limpio,пункт вторсырья,İSİMLER,B1,UNIDAD10
1264,huella ecológica,экологический след,İSİMLER,B1,UNIDAD10
1265,en primer lugar,во-первых,KALIP İFADELER,B1,UNIDAD11
1266,en segundo lugar,во-вторых,KALIP İFADELER,B1,UNIDAD11
1267,por último,наконец,KALIP İFADELER,B1,UNIDAD11
1268,dicho esto,сказав это,KALIP İFADELER,B1,UNIDAD11
1269,ahora bien,однако,KALIP İFADELER,B1,UNIDAD11
1270,en definitiva,в итоге,KALIP İFADELER,B1,UNIDAD11
1271,asegurar,заверять,FİİLLER,B1,UNIDAD12
1272,negar,отрицать,FİİLLER,B1,UNIDAD12
1273,admitir,признавать,FİİLLER,B1,UNIDAD12
1274,ordenar,приказывать,FİİLLER,B1,UNIDAD12
1275,acento regional,региональный акцент,İSİMLER,B2,UNIDAD1
1276,costumbre local,местный обычай,İSİMLER,B2,UNIDAD1
1277,fiesta nacional,национальный праздник,İSİMLER,B2,UNIDAD1
1278,himno,гимн,İSİMLER,B2,UNIDAD1
1279,titular clickbait,кликбейт-заголовок,İSİMLER,B2,UNIDAD2
1280,periodismo de investigación,расследовательская журналистика,İSİMLER,B2,UNIDAD2
1281,libertad de prensa,свобода прессы,İSİMLER,B2,UNIDAD2
1282,censura,цензура,İSİMLER,B2,UNIDAD2
1283,obsolescencia programada,запланированное устаревание,İSİMLER,B2,UNIDAD3
1284,consumo responsable,ответственное потребление,İSİMLER,B2,UNIDAD3
1285,comercio justo,справедливая торговля,İSİMLER,B2,UNIDAD3
1286,economía colaborativa,шеринг-экономика,İSİMLER,B2,UNIDAD3
1287,emisiones,выбросы,İSİMLER,B2,UNIDAD4
1288,deshielo,таяяние льдов,İSİMLER,B2,UNIDAD4
1289,escasez de agua,нехватка воды,İSİMLER,B2,UNIDAD4
1290,residuos nucleares,ядерные отходы,İSİMLER,B2,UNIDAD4
1291,vehículo eléctrico,электромобиль,İSİMLER,B2,UNIDAD4
1292,turismo de masas,массовый туризм,İSİMLER,B2,UNIDAD5
1293,gentrificación,джентрификация,İSİMLER,B2,UNIDAD5
1294,alquiler vacacional,посуточная аренда,İSİMLER,B2,UNIDAD5
1295,tasa turística,туристический сбор,İSİMLER,B2,UNIDAD5
1296,juego limpio,честная игра,İSİMLER,B2,UNIDAD6
1297,apuesta,ставка,İSİMLER,B2,UNIDAD6
1298,violencia en el deporte,насилие в спорте,İSİMLER,B2,UNIDAD6
1299,deporte adaptado,адаптивный спорт,İSİMLER,B2,UNIDAD6
1300,espacio personal,личное пространство,İSİMLER,B2,UNIDAD7
1301,dependencia emocional,эмоциональная зависимость,İSİMLER,B2,UNIDAD7
1302,límite,граница,İSİMLER,B2,UNIDAD7
1303,educación pública,государственное образование,İSİMLER,B2,UNIDAD8
1304,universidad privada,частный вуз,İSİMLER,B2,UNIDAD8
1305,notas,оценки,İSİMLER,B2,UNIDAD8
1306,selectividad,вступительные экзамены,İSİMLER,B2,UNIDAD8
1307,platea,партер,İSİMLER,B2,UNIDAD9
1308,palco,ложа,İSİMLER,B2,UNIDAD9
1309,telón,занавес,İSİMLER,B2,UNIDAD9
1310,tramoya,кулисы,İSİMLER,B2,UNIDAD9
1311,entrada agotada,аншлаг,İSİMLER,B2,UNIDAD9
1312,tercera vía,третья сторона,İSİMLER,B2,UNIDAD10
1313,acuerdo,соглашение,İSİMLER,B2,UNIDAD10
1314,impasse,тупик,İSİMLER,B2,UNIDAD10
1315,buena fe,добросовестность,İSİMLER,B2,UNIDAD10
1316,lead,"лид, зачин",İSİMLER,B2,UNIDAD11
1317,entradilla,вводка,İSİMLER,B2,UNIDAD11
1318,cierre,концовка,İSİMLER,B2,UNIDAD11
1319,fuente anónima,анонимный источник,İSİMLER,B2,UNIDAD11
1320,como si nada,как ни в чём не бывало,KALIP İFADELER,B2,UNIDAD12
1321,ni que decir tiene,само собой,KALIP İFADELER,B2,UNIDAD12
1322,puesto que,поскольку,KALIP İFADELER,B2,UNIDAD12
1323,a condición de que,при условии что,KALIP İFADELER,B2,UNIDAD12
1324,portugués,португальский,SIFATLAR,A1,UNIDAD2
1325,árabe,арабский,SIFATLAR,A1,UNIDAD2
1326,turco,турецкий,SIFATLAR,A1,UNIDAD2
1327,griego,греческий,SIFATLAR,A1,UNIDAD2
1328,polaco,польский,SIFATLAR,A1,UNIDAD2
1329,sueco,шведский,SIFATLAR,A1,UNIDAD2
1330,temprano,рано,ZARFLAR,A1,UNIDAD5
1331,tarde,поздно,ZARFLAR,A1,UNIDAD5
1332,después,после,ZARFLAR,A1,UNIDAD5
1333,céntrico,в центре,SIFATLAR,A2,UNIDAD3
1334,residencial,жилой,SIFATLAR,A2,UNIDAD3
1335,industrial,промышленный,SIFATLAR,A2,UNIDAD3
1336,turístico,туристический,SIFATLAR,A2,UNIDAD3
1337,universitario,университетский,SIFATLAR,A2,UNIDAD3
1338,multar,штрафовать,FİİLLER,B1,UNIDAD3
1339,denunciar,заявлять,FİİLLER,B1,UNIDAD3
1340,cumplir,соблюдать,FİİLLER,B1,UNIDAD3
1341,infringir,нарушать,FİİLLER,B1,UNIDAD3
1342,regular,регулировать,FİİLLER,B1,UNIDAD3
1343,tiempo,"время, погода",İSİMLER,A1,UNIDAD1
1344,vez,раз,İSİMLER,A1,UNIDAD1
1345,parte,часть,İSİMLER,A1,UNIDAD1
1346,vida,жизнь,İSİMLER,A1,UNIDAD1
1347,momento,момент,İSİMLER,A1,UNIDAD1
1348,cosa,вещь,İSİMLER,A1,UNIDAD1
1349,lugar,место,İSİMLER,A1,UNIDAD1
1350,hombre,мужчина,İSİMLER,A1,UNIDAD1
1351,niño,ребёнок,İSİMLER,A1,UNIDAD1
1352,niña,девочка,İSİMLER,A1,UNIDAD1
1353,gente,люди,İSİMLER,A1,UNIDAD1
1354,problema,проблема,İSİMLER,A1,UNIDAD1
1355,caso,случай,İSİMLER,A1,UNIDAD1
1356,punto,точка,İSİMLER,A1,UNIDAD1
1357,grupo,группа,İSİMLER,A1,UNIDAD1
1358,poder,мочь,FİİLLER,A1,UNIDAD9
1359,saber,знать,FİİLLER,A1,UNIDAD9
1360,poner,класть,FİİLLER,A1,UNIDAD9
1361,dar,давать,FİİLLER,A1,UNIDAD9
1362,decir,говорить,FİİLLER,A1,UNIDAD9
1363,venir,приходить,FİİLLER,A1,UNIDAD9
1364,traer,приносить,FİİLLER,A1,UNIDAD9
1365,quedar,"оставаться, договариваться",FİİLLER,A1,UNIDAD9
1366,creer,"верить, считать",FİİLLER,A1,UNIDAD9
1367,sentir,чувствовать,FİİLLER,A1,UNIDAD9
1368,dejar,"оставлять, позволять",FİİLLER,A1,UNIDAD9
1369,tomar,"брать, принимать",FİİLLER,A1,UNIDAD9
1370,usar,использовать,FİİLLER,A1,UNIDAD9
1371,razón,"причина, правота",İSİMLER,A2,UNIDAD1
1372,sentido,"смысл, чувство",İSİMLER,A2,UNIDAD1
1373,manera,способ,İSİMLER,A2,UNIDAD1
1374,nivel,уровень,İSİMLER,A2,UNIDAD1
1375,cambio,изменение,İSİMLER,A2,UNIDAD1
1376,desarrollo,развитие,İSİMLER,A2,UNIDAD1
1377,resultado,результат,İSİMLER,A2,UNIDAD1
1378,efecto,эффект,İSİMLER,A2,UNIDAD1
1379,causa,причина,İSİMLER,A2,UNIDAD1
1380,fin,"конец, цель",İSİMLER,A2,UNIDAD1
1381,medio,"средство, среда",İSİMLER,A2,UNIDAD1
1382,sistema,система,İSİMLER,A2,UNIDAD1
1383,proceso,процесс,İSİMLER,A2,UNIDAD1
1384,tipo,тип,İSİMLER,A2,UNIDAD1
1385,servicio,услуга,İSİMLER,A2,UNIDAD1
1386,actividad,деятельность,İSİMLER,A2,UNIDAD1
1387,situación,ситуация,İSİMLER,A2,UNIDAD1
1388,ofrecer,предлагать,FİİLLER,A2,UNIDAD10
1389,aceptar,принимать,FİİLLER,A2,UNIDAD10
1390,rechazar,отклонять,FİİLLER,A2,UNIDAD10
1391,elegir,выбирать,FİİLLER,A2,UNIDAD10
1392,aumentar,увеличивать,FİİLLER,A2,UNIDAD10
1393,reducir,сокращать,FİİLLER,A2,UNIDAD10
1394,mantener,поддерживать,FİİLLER,A2,UNIDAD10
1395,exigir,требовать,FİİLLER,A2,UNIDAD10
1396,proponer,предлагать,FİİLLER,A2,UNIDAD10
1397,resolver,решать,FİİLLER,A2,UNIDAD10
1398,existir,существовать,FİİLLER,A2,UNIDAD10
1399,depender,зависеть,FİİLLER,A2,UNIDAD10
1400,cultura,культура,İSİMLER,B1,UNIDAD8
1401,economía,экономика,İSİMLER,B1,UNIDAD8
1402,empresa,компания,İSİMLER,B1,UNIDAD8
1403,producto,продукт,İSİMLER,B1,UNIDAD8
1404,calidad,качество,İSİMLER,B1,UNIDAD8
1405,cantidad,количество,İSİMLER,B1,UNIDAD8
1406,precio,цена,İSİMLER,B1,UNIDAD8
1407,cliente,клиент,İSİMLER,B1,UNIDAD8
1408,recurso,ресурс,İSİMLER,B1,UNIDAD8
1409,ventaja,преимущество,İSİMLER,B1,UNIDAD8
1410,desventaja,недостаток,İSİMLER,B1,UNIDAD8
1411,riesgo,риск,İSİMLER,B1,UNIDAD8
1412,beneficio,выгода,İSİMLER,B1,UNIDAD8
1413,pérdida,потеря,İSİMLER,B1,UNIDAD8
1414,salario,зарплата,İSİMLER,B1,UNIDAD8
1415,pobreza,бедность,İSİMLER,B1,UNIDAD8
1416,riqueza,богатство,İSİMLER,B1,UNIDAD8
1417,analizar,анализировать,FİİLLER,B1,UNIDAD4
1418,demostrar,доказывать,FİİLLER,B1,UNIDAD4
1419,indicar,указывать,FİİLLER,B1,UNIDAD4
1420,señalar,отмечать,FİİLLER,B1,UNIDAD4
1421,destacar,выделять,FİİLLER,B1,UNIDAD4
1422,suponer,предполагать,FİİLLER,B1,UNIDAD4
1423,significar,значить,FİİLLER,B1,UNIDAD4
1424,considerar,считать,FİİLLER,B1,UNIDAD4
1425,reconocer,признавать,FİİLLER,B1,UNIDAD4
1426,comentar,комментировать,FİİLLER,B1,UNIDAD4
1427,importante,важный,SIFATLAR,B1,UNIDAD9
1428,necesario,необходимый,SIFATLAR,B1,UNIDAD9
1429,claro,ясный,SIFATLAR,B1,UNIDAD9
1430,oscuro,тёмный,SIFATLAR,B1,UNIDAD9
1431,principal,главный,SIFATLAR,B1,UNIDAD9
1432,básico,базовый,SIFATLAR,B1,UNIDAD9
1433,general,общий,SIFATLAR,B1,UNIDAD9
1434,particular,частный,SIFATLAR,B1,UNIDAD9
1435,especial,особый,SIFATLAR,B1,UNIDAD9
1436,normal,обычный,SIFATLAR,B1,UNIDAD9
1437,raro,редкий,SIFATLAR,B1,UNIDAD9
1438,común,"общий, обычный",SIFATLAR,B1,UNIDAD9
1439,propio,собственный,SIFATLAR,B1,UNIDAD9
1440,ajeno,чужой,SIFATLAR,B1,UNIDAD9
1441,actual,актуальный,SIFATLAR,B1,UNIDAD9
1442,antiguo,старинный,SIFATLAR,B1,UNIDAD9
1443,moderno,современный,SIFATLAR,B1,UNIDAD9
1444,completo,полный,SIFATLAR,B1,UNIDAD9
1445,vacío,пустой,SIFATLAR,B1,UNIDAD9
1446,lleno,полный,SIFATLAR,B1,UNIDAD9
1447,libre,свободный,SIFATLAR,B1,UNIDAD9
1448,impacto,воздействие,İSİMLER,B2,UNIDAD2
1449,alcance,охват,İSİMLER,B2,UNIDAD2
1450,criterio,критерий,İSİMLER,B2,UNIDAD2
1451,planteamiento,постановка,İSİMLER,B2,UNIDAD2
1452,balance,баланс,İSİMLER,B2,UNIDAD2
1453,tendencia,тенденция,İSİMLER,B2,UNIDAD2
1454,fenómeno,явление,İSİMLER,B2,UNIDAD2
1455,contexto,контекст,İSİMLER,B2,UNIDAD2
1456,perspectiva,перспектива,İSİMLER,B2,UNIDAD2
1457,reto,вызов,İSİMLER,B2,UNIDAD2
1458,amenaza,угроза,İSİMLER,B2,UNIDAD2
1459,estrategia,стратегия,İSİMLER,B2,UNIDAD2
1460,medida,мера,İSİMLER,B2,UNIDAD2
1461,política pública,госполитика,İSİMLER,B2,UNIDAD2
1462,transparencia,прозрачность,İSİMLER,B2,UNIDAD2
1463,rendición de cuentas,подотчётность,İSİMLER,B2,UNIDAD2
1464,participación,участие,İSİMLER,B2,UNIDAD2
1465,abordar,"поднимать, подходить к",FİİLLER,B2,UNIDAD10
1466,fomentar,поощрять,FİİLLER,B2,UNIDAD10
1467,impulsar,стимулировать,FİİLLER,B2,UNIDAD10
1468,garantizar,гарантировать,FİİLLER,B2,UNIDAD10
1469,cuestionar,ставить под вопрос,FİİLLER,B2,UNIDAD10
1470,reivindicar,"требовать, отстаивать",FİİLLER,B2,UNIDAD10
1471,pactar,договариваться,FİİLLER,B2,UNIDAD10
1472,relativizar,релятивизировать,FİİLLER,B2,UNIDAD10
1473,profundizar,углублять,FİİLLER,B2,UNIDAD10
1474,ampliar,расширять,FİİLLER,B2,UNIDAD10
1475,restringir,ограничивать,FİİLLER,B2,UNIDAD10
1476,relevante,релевантный,SIFATLAR,B2,UNIDAD1
1477,significativo,значимый,SIFATLAR,B2,UNIDAD1
1478,crucial,ключевой,SIFATLAR,B2,UNIDAD1
1479,secundario,второстепенный,SIFATLAR,B2,UNIDAD1
1480,evidente,очевидный,SIFATLAR,B2,UNIDAD1
1481,dudoso,сомнительный,SIFATLAR,B2,UNIDAD1
1482,viable,жизнеспособный,SIFATLAR,B2,UNIDAD1
1483,insostenible,несостоятельный,SIFATLAR,B2,UNIDAD1
1484,obsoleto,устаревший,SIFATLAR,B2,UNIDAD1
1485,desigual,неравный,SIFATLAR,B2,UNIDAD1
1486,plural,плюральный,SIFATLAR,B2,UNIDAD1
1487,homogéneo,однородный,SIFATLAR,B2,UNIDAD1
1488,heterogéneo,разнородный,SIFATLAR,B2,UNIDAD1
1489,el,определённый артикль (м.р.),DİĞER KELİMELER,A1,UNIDAD1
1490,de,"из, от, родительный падеж",EDATLAR / BAĞLAÇLAR,A1,UNIDAD2
1491,a,"в, к, на (направление)",EDATLAR / BAĞLAÇLAR,A1,UNIDAD5
1492,un,неопределённый артикль,DİĞER KELİMELER,A1,UNIDAD6
1493,se,возвратная частица,ZAMİRLER,A1,UNIDAD7
1494,que,"что, который",EDATLAR / BAĞLAÇLAR,A1,UNIDAD9
1495,del,слитный артикль (de+el),EDATLAR / BAĞLAÇLAR,A1,UNIDAD1
1496,por,"по, из-за, за",EDATLAR / BAĞLAÇLAR,A1,UNIDAD2
1497,con,"с, вместе с",EDATLAR / BAĞLAÇLAR,A1,UNIDAD4
1498,para,"для, чтобы",EDATLAR / BAĞLAÇLAR,A1,UNIDAD5
1499,al,слитный артикль (a+el),EDATLAR / BAĞLAÇLAR,A1,UNIDAD6
1500,lo,это; средний род / прямое дополнение,ZAMİRLER,A1,UNIDAD8
1501,como,как,EDATLAR / BAĞLAÇLAR,A1,UNIDAD9
1502,le,"ему, ей (дат. падеж)",ZAMİRLER,A1,UNIDAD2
1503,más,больше,ZARFLAR,A1,UNIDAD5
1504,todo,"весь, всё",ZAMİRLER,A1,UNIDAD6
1505,me,"меня, мне (энклитика)",ZAMİRLER,A1,UNIDAD1
1506,ese,"тот, этот",ZAMİRLER,A1,UNIDAD3
1507,otro,другой,ZAMİRLER,A1,UNIDAD4
1508,haber,вспомогательный «иметь» (hay / he),FİİLLER,A1,UNIDAD7
1509,sobre,"о, на, поверх",EDATLAR / BAĞLAÇLAR,A1,UNIDAD1
1510,entre,"между, среди",EDATLAR / BAĞLAÇLAR,A1,UNIDAD2
1511,sin,без,EDATLAR / BAĞLAÇLAR,A1,UNIDAD6
1512,mismo,"сам, тот же",ZAMİRLER,A1,UNIDAD8
1513,primero,первый,İSİMLER,A1,UNIDAD2
1514,muy,очень,ZARFLAR,A1,UNIDAD4
1515,alguno,"какой-то, некоторый",ZAMİRLER,A1,UNIDAD5
1516,nos,"нас, нам (энклитика)",ZAMİRLER,A1,UNIDAD7
1517,porque,потому что,EDATLAR / BAĞLAÇLAR,A1,UNIDAD2
1518,solo,"только, лишь",ZARFLAR,A1,UNIDAD4
1519,nuevo,новый,SIFATLAR,A1,UNIDAD7
1520,te,"тебя, тебе (энклитика)",ZAMİRLER,A1,UNIDAD2
1521,ni,ни,EDATLAR / BAĞLAÇLAR,A1,UNIDAD8
1522,aquel,тот (далёкий),ZAMİRLER,A1,UNIDAD9
1523,donde,где (относит.),ZARFLAR,A1,UNIDAD2
1524,último,последний,SIFATLAR,A1,UNIDAD9
1525,cada,каждый,ZAMİRLER,A1,UNIDAD6
1526,tan,"так, настолько",ZARFLAR,A1,UNIDAD8
1527,así,"так, таким образом",ZARFLAR,A1,UNIDAD1
1528,bueno,хороший,SIFATLAR,A1,UNIDAD2
1529,presidente,президент,İSİMLER,A1,UNIDAD6
1530,estado,"государство, состояние",İSİMLER,A1,UNIDAD8
1531,bien,хорошо,ZARFLAR,A1,UNIDAD3
1532,sino,"а, но (после отрицания)",EDATLAR / BAĞLAÇLAR,A1,UNIDAD4
1533,político,политический,SIFATLAR,A1,UNIDAD5
1534,tratar,пытаться; касаться; обращаться,FİİLLER,A1,UNIDAD2
1535,nacional,"национальный, государственный",SIFATLAR,A1,UNIDAD9
1536,millón,миллион,İSİMLER,A1,UNIDAD5
1537,contra,против,EDATLAR / BAĞLAÇLAR,A1,UNIDAD7
1538,ante,"перед, перед лицом",EDATLAR / BAĞLAÇLAR,A1,UNIDAD9
1539,ayer,вчера,ZARFLAR,A1,UNIDAD3
1540,hacia,"к, по направлению к",EDATLAR / BAĞLAÇLAR,A1,UNIDAD5
1541,social,"социальный, общественный",SIFATLAR,A1,UNIDAD1
1542,realizar,"осуществлять, проводить",FİİLLER,A1,UNIDAD3
1543,pues,"итак, ведь, ну",EDATLAR / BAĞLAÇLAR,A1,UNIDAD4
1544,menos,"меньше, кроме",ZARFLAR,A1,UNIDAD8
1545,hoy,сегодня,ZARFLAR,A1,UNIDAD3
1546,producir,"производить, вызывать",FİİLLER,A1,UNIDAD4
1547,casi,почти,ZARFLAR,A1,UNIDAD9
1548,crear,создавать,FİİLLER,A1,UNIDAD1
1549,cómo,как (вопросит.),ZARFLAR,A1,UNIDAD2
1550,ninguno,"никакой, никто",ZAMİRLER,A1,UNIDAD5
1551,económico,экономический,SIFATLAR,A1,UNIDAD6
1552,segundo,второй; секунда,İSİMLER,A1,UNIDAD9
1553,señor,"господин, сеньор",İSİMLER,A1,UNIDAD8
1554,noche,"ночь, вечер",İSİMLER,A1,UNIDAD9
1555,mejor,лучший,SIFATLAR,A1,UNIDAD6
1556,historia,история,İSİMLER,A1,UNIDAD1
1557,tras,"после, за",EDATLAR / BAĞLAÇLAR,A1,UNIDAD7
1558,largo,"длинный, долгий",SIFATLAR,A1,UNIDAD9
1559,varios,"несколько, различные",ZAMİRLER,A1,UNIDAD2
1560,fuerza,сила,İSİMLER,A1,UNIDAD3
1561,hecho,"факт, дело",İSİMLER,A1,UNIDAD6
1562,mí,"меня, мне (после предлога)",ZAMİRLER,A1,UNIDAD1
1563,tanto,"столько, так сильно",ZARFLAR,A1,UNIDAD2
1564,único,"единственный, уникальный",SIFATLAR,A1,UNIDAD3
1565,cualquiera,любой,ZAMİRLER,A1,UNIDAD6
1566,aún,ещё,ZARFLAR,A1,UNIDAD4
1567,comenzar,начинать,FİİLLER,A1,UNIDAD9
1568,tal,такой,ZAMİRLER,A1,UNIDAD6
1569,siglo,"век, столетие",İSİMLER,A1,UNIDAD5
1570,ministro,министр,İSİMLER,A1,UNIDAD6
1571,aparecer,появляться,FİİLLER,A1,UNIDAD8
1572,convertir,"превращать, обращать",FİİLLER,A1,UNIDAD2
1573,acción,"действие, акция",İSİMLER,A1,UNIDAD3
1574,lado,"сторона, бок",İSİMLER,A1,UNIDAD4
1575,nadie,никто,ZAMİRLER,A1,UNIDAD5
1576,utilizar,использовать,FİİLLER,A1,UNIDAD8
1577,próximo,"следующий, ближайший",SIFATLAR,A1,UNIDAD9
1578,humano,человеческий,SIFATLAR,A1,UNIDAD2
1579,realidad,"реальность, действительность",İSİMLER,A1,UNIDAD5
1580,programa,программа,İSİMLER,A1,UNIDAD6
1581,cierto,"некий, некоторый",ZAMİRLER,A1,UNIDAD1
1582,tierra,"земля, страна",İSİMLER,A1,UNIDAD9
1583,acabar,заканчивать; только что,FİİLLER,A1,UNIDAD2
1584,idea,"идея, мысль",İSİMLER,A1,UNIDAD5
1585,mostrar,показывать,FİİLLER,A1,UNIDAD7
1586,zona,"зона, район",İSİMLER,A1,UNIDAD9
1587,formar,"формировать, образовывать",FİİLLER,A1,UNIDAD1
1588,tema,тема,İSİMLER,A1,UNIDAD3
1589,muerte,смерть,İSİMLER,A1,UNIDAD5
1590,principio,"начало, принцип",İSİMLER,A1,UNIDAD8
1591,ya que,"поскольку, так как",EDATLAR / BAĞLAÇLAR,A1,UNIDAD9
1592,interés,интерес,İSİMLER,A1,UNIDAD1
1593,distinto,"различный, иной",SIFATLAR,A1,UNIDAD4
1594,internacional,международный,SIFATLAR,A1,UNIDAD6
1595,sector,"сектор, отрасль",İSİMLER,A1,UNIDAD3
1596,paso,"шаг, проход",İSİMLER,A1,UNIDAD4
1597,incluso,"даже, включая",ZARFLAR,A1,UNIDAD5
1598,información,информация,İSİMLER,A1,UNIDAD8
1599,voz,голос,İSİMLER,A1,UNIDAD2
1600,valor,"ценность, мужество",İSİMLER,A1,UNIDAD4
1601,figura,"фигура, личность",İSİMLER,A1,UNIDAD5
1602,establecer,"устанавливать, учреждать",FİİLLER,A1,UNIDAD8
1603,ambos,оба,ZAMİRLER,A1,UNIDAD9
1604,verdad,"правда, истина",İSİMLER,A1,UNIDAD3
1605,movimiento,движение,İSİMLER,A1,UNIDAD4
1606,anterior,"предыдущий, прежний",SIFATLAR,A1,UNIDAD5
1607,a través de,"через, посредством",EDATLAR / BAĞLAÇLAR,A1,UNIDAD6
1608,puerta,дверь,İSİMLER,A1,UNIDAD7
1609,obtener,"получать, добывать",FİİLLER,A1,UNIDAD8
1610,posibilidad,возможность,İSİMLER,A1,UNIDAD9
1611,frente a,"перед, напротив",EDATLAR / BAĞLAÇLAR,A1,UNIDAD1
1612,alcanzar,достигать,FİİLLER,A1,UNIDAD3
1613,caer,падать,FİİLLER,A1,UNIDAD6
1614,fondo,"дно, фон, суть",İSİMLER,A1,UNIDAD7
1615,imagen,"изображение, образ",İSİMLER,A1,UNIDAD8
1616,orden,"порядок, приказ",İSİMLER,A1,UNIDAD3
1617,luz,свет,İSİMLER,A1,UNIDAD6
1618,final,"конец, финал",İSİMLER,A1,UNIDAD7
1619,siguiente,следующий,SIFATLAR,A1,UNIDAD8
1620,policía,"полиция, полицейский",İSİMLER,A1,UNIDAD9
1621,peseta,песета (старая валюта),İSİMLER,A1,UNIDAD4
1622,miembro,член (организации),İSİMLER,A1,UNIDAD5
1623,modo,"способ, образ",İSİMLER,A1,UNIDAD6
1624,oír,слышать,FİİLLER,A1,UNIDAD1
1625,necesidad,"необходимость, нужда",İSİMLER,A1,UNIDAD7
